,JusticeName,Round,forest_initial_train_score,forest_initial_test_score,forest_initial_train_log_loss,forest_initial_test_log_loss,forest_initial_train_roc_auc,forest_initial_test_roc_auc,forest_best_score,forest_best_max_depth,forest_best_n_estimators,forest_tuned_train_score,forest_tuned_test_score,forest_tuned_train_log_loss,forest_tuned_test_log_loss,forest_tuned_train_roc_auc,forest_tuned_test_roc_auc,adaboost_initial_train_score,adaboost_initial_test_score,adaboost_initial_train_log_loss,adaboost_initial_test_log_loss,adaboost_initial_train_roc_auc,adaboost_initial_test_roc_auc,adaboost_best_score,adaboost_best_learning_rate,adaboost_best_n_estimators,adaboost_tuned_train_score,adaboost_tuned_test_score,adaboost_tuned_train_log_loss,adaboost_tuned_test_log_loss,adaboost_tuned_train_roc_auc,adaboost_tuned_test_roc_auc,svm_model_best_score,svm_model_best_c,svm_model_best_kernel,svm_model_tuned_train_score,svm_model_tuned_test_score,svm_model_tuned_train_log_loss,svm_model_tuned_test_log_loss,svm_model_tuned_train_roc_auc,svm_model_tuned_test_roc_auc
10,SMinton,11,0.9221556886227545,0.6242038216560509,0.48685209320734035,0.6639429967497189,0.9932984714400643,0.6439123376623377,0.6441542700930978,15,500,0.9181636726546906,0.6305732484076433,0.4856945340871148,0.6714538460707719,0.99864038616251,0.6260551948051948,0.7684630738522954,0.5987261146496815,0.6367993647143444,0.7133547617217224,0.8561544650040225,0.6170454545454546,0.6096908822267266,0.1,600,0.8542914171656687,0.6050955414012739,0.6745918152223184,0.6909744976800883,0.950249396621078,0.5853084415584415,0.6393369316466452,1,linear,0.872255489021956,0.6369426751592356,0.5166433898132904,0.6483975184130409,0.9284553499597747,0.6773538961038962
11,EWarren,12,0.8021223470661673,0.7791164658634538,0.40050871459595894,0.49197433652425854,0.9525136593104262,0.7447223622772212,0.6767716890444911,15,250,0.8108614232209738,0.7811244979919679,0.3974843899301369,0.49128508501466456,0.9576352643379487,0.7526360786548874,0.7983770287141073,0.7811244979919679,0.6551656749859698,0.6598805165940714,0.8185526323827987,0.7198960913694455,0.659652706866894,0.01,300,0.7734082397003745,0.785140562248996,0.6019966778310863,0.597989643943007,0.7227266895696426,0.6791218186202513,0.6546253019130844,100,rbf,0.8121098626716604,0.7771084337349398,0.42165077715613525,0.49913274025573773,0.8720983511079161,0.7235679680820747
12,JHarlan2,13,0.7650966183574879,0.5674157303370787,0.5444027178249057,0.6642248047715323,0.9550609135536399,0.6609533597060522,0.6066989942528735,15,50,0.7977053140096618,0.5767790262172284,0.5385005618431477,0.6637369630917642,0.9431737907088122,0.6585741838300507,0.6606280193236715,0.5973782771535581,0.6777644665319722,0.6905088077240233,0.7363034303160919,0.6268002196162347,0.5979136733716475,0.01,100,0.5972222222222222,0.5449438202247191,0.6647904987023896,0.6824357590719999,0.6299307052203066,0.5835104810440217,0.5700670498084291,10,rbf,0.6026570048309179,0.548689138576779,0.6222800683407564,0.6733200310165349,0.7415798611111111,0.6318964424985569
13,WJBrennan,14,0.7703800786369593,0.7334905660377359,0.4622967940417686,0.5445529919204127,0.9134213115842725,0.7202725605857729,0.7229630883076592,25,1000,0.8505897771952818,0.7460691823899371,0.34671041108215095,0.5296150009677523,0.989642633632564,0.7323595580163814,0.7688073394495413,0.7476415094339622,0.676012293118914,0.6821325080543383,0.7672824003922666,0.6762491103632131,0.6986533071135691,0.1,300,0.7585845347313237,0.7382075471698113,0.6789080917071251,0.6814788985011224,0.7709369254431949,0.6838064994752651,0.6844626808809661,50,rbf,0.7554390563564876,0.7374213836477987,0.5051301285282569,0.5575376243548752,0.8246542346073277,0.6899389618692626
14,CEWhittaker,15,0.8886597938144329,0.5641025641025641,0.4909199320699578,0.6763560313065132,0.9909573729519577,0.587903893951947,0.5901004411694686,25,50,0.9690721649484536,0.5769230769230769,0.36234752095362566,0.7011386729133067,0.9993231046931407,0.5736536868268434,0.7649484536082474,0.5833333333333334,0.6319049864638164,0.6853743751743445,0.837206678700361,0.5780447390223695,0.5892127333297212,0.1,300,0.8041237113402062,0.5897435897435898,0.6682004281982629,0.6863557190531889,0.913834698694807,0.6059652029826015,0.5848803407857643,100,linear,0.9360824742268041,0.5705128205128205,0.6300521313992005,0.6738660303160472,0.9477922799222439,0.6263463131731567
15,PStewart,16,0.7791243158717748,0.6314580941446614,0.5561282380021016,0.6383243388929053,0.889714530587493,0.6985803397441328,0.6196558315700921,15,50,0.7904612978889758,0.6555683122847302,0.555191509620078,0.6419600597696089,0.8910499366683132,0.6928402736592392,0.6712275215011728,0.6521239954075775,0.6849335293278463,0.6878175946313728,0.7367192963580612,0.6708410997204101,0.6049932022480745,0.001,100,0.6008600469116497,0.6463834672789897,0.671250296327149,0.6562363519819013,0.6011448608414556,0.6398823392357875,0.6286242994045292,10,rbf,0.6239249413604379,0.6486796785304249,0.640882104943314,0.6442004308626512,0.7357971356471813,0.6794538464797086
16,BRWhite,17,0.7622555964862567,0.6715017064846417,0.548741801175072,0.6168145005582867,0.8723124136379703,0.7384245497464592,0.581927769381499,5,50,0.6636440918107113,0.64419795221843,0.6561110691282404,0.6622845405803318,0.7514160159388155,0.7169216646266829,0.6863134032303769,0.6672354948805461,0.6853183256049684,0.6883217366213296,0.7524444872907228,0.7093737250101999,0.6041678846101788,0.001,100,0.621422499291584,0.6493174061433447,0.662174001339355,0.6488707098918568,0.6226797133583984,0.6503846826368247,0.6163936334667708,5,rbf,0.6389912156418249,0.6578498293515358,0.6386178351530669,0.632320091131735,0.7304921430637231,0.7111383108935129
17,AJGoldberg,18,0.9515151515151515,0.8272727272727273,0.23225133986755783,0.4229366428372253,0.9995082612116444,0.7731134432783608,0.8200357259228228,10,500,0.8696969696969697,0.8090909090909091,0.32290667518833366,0.44165863119105825,0.9869197482297404,0.7551224387806097,0.8878787878787879,0.8181818181818182,0.6314982945841026,0.6498753823283917,0.9723642800944139,0.7438780609695153,0.8035711958292604,0.01,600,0.8242424242424242,0.8,0.5908918777218402,0.5975459254616134,0.8964152242328874,0.7596201899050475,0.7945740818321462,50,rbf,0.8636363636363636,0.8272727272727273,0.345290076448831,0.4337069898666129,0.9174370574350904,0.7606196901549226
18,AFortas,19,0.8802992518703242,0.782258064516129,0.3068934986966145,0.4962376612735255,0.9928478744438951,0.716949716949717,0.7204600411886136,5,250,0.7581047381546134,0.782258064516129,0.4926197869652227,0.5266281448777307,0.8837277558082056,0.6899766899766899,0.8628428927680798,0.7580645161290323,0.6038294642838018,0.6520819645100048,0.9341633712308454,0.6638361638361638,0.6821968846637484,0.1,300,0.9052369077306733,0.7419354838709677,0.6459234832043169,0.6680175654966496,0.9664792387543253,0.6481851481851482,0.7219458488481991,25,rbf,0.7980049875311721,0.7741935483870968,0.4246159537575638,0.527433442717203,0.8572200939199209,0.654012654012654
19,TMarshall,20,0.7773584905660378,0.7034949267192785,0.4345431973534906,0.5709761831632305,0.9576021394626046,0.7217764890059062,0.6925442045163324,15,500,0.7818867924528302,0.7034949267192785,0.43599805181760365,0.5697314859653562,0.9595739144576354,0.7275077682108209,0.7724528301886793,0.7294250281848929,0.6722946251678306,0.6830086404081837,0.7662293778572847,0.692381816456747,0.6718821927323277,0.1,100,0.7562264150943396,0.7091319052987599,0.6571748085213154,0.6656939320641606,0.7243262680471982,0.6806227614506984,0.6575367991843498,75,rbf,0.7660377358490567,0.7158962795941376,0.4844712469646103,0.5749058156002986,0.83525234455467,0.6933454303944591
