,JusticeName,Round,forest_initial_train_score,forest_initial_test_score,forest_initial_train_log_loss,forest_initial_test_log_loss,forest_initial_train_roc_auc,forest_initial_test_roc_auc,forest_best_score,forest_best_max_depth,forest_best_n_estimators,forest_tuned_train_score,forest_tuned_test_score,forest_tuned_train_log_loss,forest_tuned_test_log_loss,forest_tuned_train_roc_auc,forest_tuned_test_roc_auc,adaboost_initial_train_score,adaboost_initial_test_score,adaboost_initial_train_log_loss,adaboost_initial_test_log_loss,adaboost_initial_train_roc_auc,adaboost_initial_test_roc_auc,adaboost_best_score,adaboost_best_learning_rate,adaboost_best_n_estimators,adaboost_tuned_train_score,adaboost_tuned_test_score,adaboost_tuned_train_log_loss,adaboost_tuned_test_log_loss,adaboost_tuned_train_roc_auc,adaboost_tuned_test_roc_auc,svm_model_best_score,svm_model_best_c,svm_model_best_kernel,svm_model_tuned_train_score,svm_model_tuned_test_score,svm_model_tuned_train_log_loss,svm_model_tuned_test_log_loss,svm_model_tuned_train_roc_auc,svm_model_tuned_test_roc_auc
12,JHarlan2,13,0.769927536231884,0.5692883895131086,0.547421135664395,0.6671149057318166,0.9471668462643679,0.6485365956668028,0.5893719806763285,10,50,0.6654589371980676,0.548689138576779,0.6020205940042652,0.6748565923759517,0.8677247964559387,0.6385060464854364,0.6606280193236715,0.5973782771535581,0.6777644665319722,0.6905088077240233,0.7363034303160919,0.6268002196162347,0.5979136733716475,0.01,100,0.5972222222222222,0.5449438202247191,0.6647904987023894,0.6824357590719998,0.6299307052203066,0.5835104810440217,0.5700670498084291,10,rbf,0.6026570048309179,0.548689138576779,0.6222800683407564,0.6733200310165349,0.7415798611111111,0.6318964424985569
13,WJBrennan,14,0.7703800786369593,0.7382075471698113,0.4615306886715296,0.5450609776217579,0.9127755273429509,0.717407628560055,0.7507208387942332,25,500,0.8479685452162516,0.7507861635220126,0.34773040687783785,0.5298980197548563,0.98889841382914,0.7316508643047563,0.7688073394495413,0.7476415094339622,0.676012293118914,0.6821325080543383,0.7672824003922666,0.6762491103632131,0.6986533071135691,0.1,300,0.7585845347313237,0.7382075471698113,0.6789080917071251,0.6814788985011224,0.7709369254431949,0.6838064994752651,0.6844626808809661,50,rbf,0.7554390563564876,0.7374213836477987,0.5051301285282569,0.5575376243548752,0.8246542346073277,0.6899389618692626
14,CEWhittaker,15,0.8721649484536083,0.5448717948717948,0.48963451807387176,0.6830182652579487,0.9877985281866148,0.5700082850041425,0.5938144329896907,25,250,0.9896907216494846,0.5833333333333334,0.3573145217335836,0.687121998685161,0.9992536795334629,0.5855840927920464,0.7628865979381443,0.5833333333333334,0.6318491201046929,0.6853693803164748,0.8361479450152735,0.5795360397680199,0.5895885236831001,0.1,300,0.797938144329897,0.5961538461538461,0.6684217235500687,0.6856484642280599,0.9120990697028604,0.6111019055509528,0.5848803407857643,100,linear,0.9360824742268041,0.5705128205128205,0.6300521313992005,0.6738660303160472,0.9477922799222439,0.6263463131731567
15,PStewart,16,0.7716966379984362,0.6463834672789897,0.5521293848977511,0.638029042077224,0.8903949183045691,0.6998723841396255,0.552384675527756,5,250,0.6583268178264269,0.6475315729047072,0.65645296319435,0.6643746615906762,0.7427067693993026,0.690581843599085,0.6712275215011728,0.6521239954075775,0.6849335293278463,0.6878175946313728,0.7367192963580612,0.6708410997204101,0.6049932022480745,0.001,100,0.6008600469116497,0.6463834672789897,0.671250296327149,0.6562363519819013,0.6011448608414556,0.6398823392357875,0.6286242994045292,10,rbf,0.6239249413604379,0.6486796785304249,0.640882104943314,0.6442004308626512,0.7357971356471813,0.6794538464797086
16,BRWhite,17,0.7546047038821195,0.6715017064846417,0.5496213087619075,0.6182617486188369,0.8725539059738423,0.7361397680247129,0.5463304052139416,10,50,0.701898554831397,0.6655290102389079,0.6076380828522837,0.6343623000601759,0.8067349529226517,0.7294398787666841,0.6863134032303769,0.6672354948805461,0.6853183256049684,0.6883217366213296,0.7524444872907228,0.7093737250101999,0.6041678846101788,0.001,100,0.621422499291584,0.6493174061433447,0.662174001339355,0.6488707098918568,0.6226797133583984,0.6503846826368247,0.6163936334667708,5,rbf,0.6389912156418249,0.6578498293515358,0.6386178351530669,0.632320091131735,0.7304921430637231,0.7111383108935129
17,AJGoldberg,18,0.9454545454545454,0.8363636363636363,0.23061959094920373,0.41672411412592847,0.9990656963021243,0.7766116941529236,0.806060606060606,15,1000,0.9515151515151515,0.8272727272727273,0.23087484657523227,0.4246871732151034,0.9992623918174666,0.7706146926536732,0.8878787878787879,0.8272727272727273,0.6314982945841026,0.6460319686058554,0.9723642800944139,0.7483758120939531,0.8035711958292604,0.01,600,0.8242424242424242,0.8,0.5908918777218402,0.5975459254616134,0.8964152242328874,0.7596201899050475,0.7945740818321462,50,rbf,0.8636363636363636,0.8272727272727273,0.345290076448831,0.4337069898666129,0.9174370574350904,0.7606196901549226
18,AFortas,19,0.8927680798004988,0.7983870967741935,0.3053194721032125,0.5091742701803316,0.994423504695996,0.7039627039627039,0.773067331670823,25,50,0.9675810473815462,0.7983870967741935,0.1940400476044208,0.48862229117694544,0.9996756055363322,0.7332667332667333,0.8628428927680798,0.7661290322580645,0.6038294644506388,0.6496298302557956,0.9341633712308453,0.6771561771561772,0.6858945604568706,0.1,300,0.9052369077306733,0.7419354838709677,0.6459235219384197,0.6680059724984753,0.9664792387543253,0.6405261405261405,0.7219458488481991,25,rbf,0.7980049875311721,0.7741935483870968,0.4246159537575638,0.527433442717203,0.8572200939199209,0.654012654012654
19,TMarshall,20,0.7807547169811321,0.705749718151071,0.4358962092846024,0.570039440367423,0.9540503424224354,0.718120685974525,0.7494339622641509,25,500,0.8464150943396226,0.7237880496054115,0.3233030188199329,0.5572059093856703,0.9984694891671637,0.7377724803719253,0.7724528301886793,0.7294250281848929,0.6722946251678306,0.6830086404081837,0.7662293778572847,0.692381816456747,0.6718821927323277,0.1,100,0.7562264150943396,0.7091319052987599,0.6571748085213154,0.6656939320641606,0.7243262680471982,0.6806227614506984,0.6575367991843498,75,rbf,0.7660377358490567,0.7158962795941376,0.4844712469646103,0.5749058156002986,0.83525234455467,0.6933454303944591
20,WEBurger,21,0.7594810379241517,0.6656976744186046,0.4929412699411411,0.5862803002140374,0.9118575839684637,0.7359411846303231,0.6731536926147704,25,500,0.8972055888223552,0.7020348837209303,0.373990099145993,0.5740807319069602,0.989445823711831,0.7416932538031165,0.7125748502994012,0.6715116279069767,0.6758884692993854,0.6828704694487653,0.7701317422816643,0.6961298377028713,0.6754322216957396,0.01,600,0.6676646706586826,0.6482558139534884,0.6607928469999739,0.6630936238257525,0.7081881765640224,0.7010588616081749,0.6839164555594814,50,rbf,0.7435129740518962,0.6744186046511628,0.5183552968199442,0.5922279617723488,0.8119018540023224,0.7076154806491884
21,HABlackmun,22,0.7853128512551517,0.6647982062780269,0.5260294512713165,0.6296533830446147,0.9072592766900818,0.7102085344272846,0.5496440614462346,10,50,0.7174971899587861,0.6535874439461884,0.5998973924402983,0.6430779474970986,0.8161930695466056,0.7068955115830116,0.6849007118771075,0.6547085201793722,0.6812445478034342,0.6884734890751929,0.755771437128378,0.6899684282496783,0.6161108025002718,0.1,100,0.6579243162233046,0.6412556053811659,0.6810791685763338,0.6848716105494497,0.718729135399086,0.6830558236808236,0.5938144000983681,100,rbf,0.7452229299363057,0.6434977578475336,0.5539330438683904,0.6353091269219018,0.8180108583183118,0.6951264880952381
